District,Sown_Major_Schemes,Sown_Minor_Schemes,Sown_Rainfed,Sown_All_Schemes,Harvested_Major_Schemes,Harvested_Minor_Schemes,Harvested_Rainfed,Harvested_All_Schemes,Yield_Major_Schemes,Yield_Minor_Schemes,Yield_Rainfed,Yield_Average,Harvested_Hectares,Production_MT,Season,Year,Is_National
COLOMBO,256.0,558.0,2050.0,2864.0,256.0,558.0,2050.0,2864.0,3699.0,3496.0,3506.0,3521.0,2434.0,8571.0,Maha,2020.0,False
GAMPAHA,1544.0,3277.0,4893.0,9714.0,1461.0,3231.0,4871.0,9563.0,4423.0,4156.0,4240.0,4240.0,8128.0,34460.0,Maha,2020.0,False
KALUTARA,107.0,1304.0,8145.0,9556.0,107.0,1303.0,8080.0,9490.0,3644.0,3523.0,3660.0,3641.0,8756.0,31876.0,Maha,2020.0,False
KANDY,4201.0,4797.0,2006.0,11004.0,4200.0,4793.0,2000.0,10993.0,5777.0,3229.0,4432.0,4422.0,8694.0,38440.0,Maha,2020.0,False
MATALE,6877.0,7076.0,4505.0,18458.0,6846.0,7044.0,4496.0,18386.0,5415.0,5162.0,5406.0,5316.0,16534.0,87897.0,Maha,2020.0,False
NUWARAELIYA,420.0,1310.0,5.0,1735.0,420.0,1310.0,5.0,1735.0,3605.0,3607.0,4034.0,3608.0,977.0,3525.0,Maha,2020.0,False
GALLE,205.0,1448.0,6296.0,7949.0,205.0,1448.0,6286.0,7939.0,4000.0,3845.0,4011.0,3980.0,6213.0,24728.0,Maha,2020.0,False
MATARA,3898.0,2767.0,5081.0,11746.0,3855.0,2697.0,5044.0,11596.0,4628.0,3553.0,3498.0,3886.0,9155.0,35581.0,Maha,2020.0,False
HAMBANTOTA,28003.0,5827.0,1148.0,34978.0,27970.0,5821.0,1142.0,34933.0,6568.0,5478.0,3992.0,6302.0,30521.0,192353.0,Maha,2020.0,False
JAFFNA,0.0,0.0,10445.0,10445.0,0.0,0.0,10291.0,10291.0,0.0,0.0,3628.0,3628.0,9132.0,33135.0,Maha,2020.0,False
MANNAR,15289.0,3999.0,79.0,19367.0,15289.0,3999.0,79.0,19367.0,4880.0,4651.0,3447.0,4827.0,18492.0,89263.0,Maha,2020.0,False
VAVUNIYA,4366.0,12406.0,2469.0,19241.0,4360.0,12292.0,2465.0,19117.0,4699.0,5034.0,4982.0,4951.0,18036.0,89294.0,Maha,2020.0,False
MULATIVU,7579.0,4355.0,6325.0,18259.0,7579.0,4355.0,6325.0,18259.0,4711.0,4806.0,4452.0,4644.0,17228.0,80008.0,Maha,2020.0,False
KILLINOCHCHI,12088.0,553.0,14524.0,27165.0,12088.0,553.0,14524.0,27165.0,3778.0,3329.0,4505.0,4158.0,24106.0,100224.0,Maha,2020.0,False
BATTICALOA,24476.0,3811.0,38709.0,66996.0,20161.0,3518.0,37565.0,61244.0,3824.0,4059.0,3735.0,3783.0,54055.0,204489.0,Maha,2020.0,False
