,,GROSS EXTENT SOWN(Hectares),,,,GROSS EXTENT HARVESTED(Hectares),,,,AVERAGE YIELD PER NETT HECTARE(kg),,,,
DISTRICT,MAJOR,MINOR,RAINFED,ALL,MAJOR,MINOR,RAINFED,ALL,MAJOR,MINOR,RAINFED,AVERAGE,HARVESTED,PRODUCTION
,SCHEMES,SCHEMES,,SCHEMES,SCHEMES,SCHEMES,,SCHEMES,SCHEMES,SCHEMES,,YIELD,(Hectares),(MT.)
COLOMBO,256,558,"2,050","2,864",256,558,"2,050","2,864","3,699","3,496","3,506","3,521","2,434","8,571"
GAMPAHA,"1,544","3,277","4,893","9,714","1,461","3,231","4,871","9,563","4,423","4,156","4,240","4,240","8,128","34,460"
KALUTARA,107,"1,304","8,145","9,556",107,"1,303","8,080","9,490","3,644","3,523","3,660","3,641","8,756","31,876"
KANDY,"4,201","4,797","2,006","11,004","4,200","4,793","2,000","10,993","5,777","3,229","4,432","4,422","8,694","38,440"
MATALE,"6,877","7,076","4,505","18,458","6,846","7,044","4,496","18,386","5,415","5,162","5,406","5,316","16,534","87,897"
NUWARAELIYA,420,"1,310",5,"1,735",420,"1,310",5,"1,735","3,605","3,607","4,034","3,608",977,"3,525"
GALLE,205,"1,448","6,296","7,949",205,"1,448","6,286","7,939","4,000","3,845","4,011","3,980","6,213","24,728"
MATARA,"3,898","2,767","5,081","11,746","3,855","2,697","5,044","11,596","4,628","3,553","3,498","3,886","9,155","35,581"
HAMBANTOTA,"28,003","5,827","1,148","34,978","27,970","5,821","1,142","34,933","6,568","5,478","3,992","6,302","30,521","192,353"
JAFFNA,_,_,"10,445","10,445",_,_,"10,291","10,291",_,_,"3,628","3,628","9,132","33,135"
MANNAR,"15,289","3,999",79,"19,367","15,289","3,999",79,"19,367","4,880","4,651","3,447","4,827","18,492","89,263"
VAVUNIYA,"4,366","12,406","2,469","19,241","4,360","12,292","2,465","19,117","4,699","5,034","4,982","4,951","18,036","89,294"
MULATIVU,"7,579","4,355","6,325","18,259","7,579","4,355","6,325","18,259","4,711","4,806","4,452","4,644","17,228","80,008"
KILLINOCHCHI,"12,088",553,"14,524","27,165","12,088",553,"14,524","27,165","3,778","3,329","4,505","4,158","24,106","100,224"
BATTICALOA,"24,476","3,811","38,709","66,996","20,161","3,518","37,565","61,244","3,824","4,059","3,735","3,783","54,055","204,489"
AMPARA,"59,732","4,448","15,237","79,417","58,060","4,123","14,611","76,794","4,986","3,965","4,107","4,764","73,392","349,626"
TRINCOMALEE,"20,399","6,887","10,999","38,285","20,399","6,887","10,999","38,285","4,752","4,418","3,647","4,375","35,567","155,592"
KURUNEGALA,"17,945","37,748","26,785","82,478","17,871","37,501","26,639","82,011","5,733","4,748","4,036","4,732","82,011","388,043"
PUTTALAM,"7,905","11,022","1,637","20,564","7,359","10,718","1,511","19,588","4,711","4,629","4,526","4,652","16,649","77,449"
ANURADHAPURA,"54,056","52,287","12,559","118,902","53,756","52,058","12,514","118,328","6,215","5,118","4,716","5,574","95,148","530,356"
POLONNARUWA,"56,959","7,431","2,626","67,016","56,734","7,326","2,534","66,594","5,341","6,272","4,305","5,404","58,909","318,352"
BADULLA,"10,572","9,730","5,339","25,641","10,572","9,730","5,339","25,641","4,501","4,532","3,986","4,405","21,795","96,017"
MONARAGALA,"8,963","10,888","14,505","34,356","8,619","10,721","14,313","33,653","6,324","4,688","3,955","4,796","32,981","158,159"
RATNAPURA,"3,904","4,716","2,136","10,756","3,902","4,708","2,127","10,737","6,096","4,781","3,964","5,097","9,127","46,521"
KEGALLE,_,"1,559","3,797","5,356",_,"1,553","3,785","5,338",_,"4,167","4,718","4,558","5,001","22,793"
SRI LANKA,"349,744","200,204","202,300","752,248","342,069","198,247","199,595","739,911","4,883","4,385","4,139","4,531","663,041","3,196,752"
COLOMBO,319,586,"2,314","3,219",319,586,"2,314","3,219",3060,4134,3095,3281,"2,736","8,976"
GAMPAHA,"1,768","3,545","5,131","10,444","1,655","3,429","4,916","10,000",3980,3491,3233,3445,"8,500","29,283"
KALUTARA,167,"1,588","9,898","11,653",167,"1,571","9,854","11,592",3643,3175,3409,3380,"10,694","36,149"
KANDY,"3,703","3,059","2,075","8,837","3,700","3,047","2,056","8,803",5370,3046,3374,4099,"6,961","28,536"
MATALE,"5,076","2,759",386,"8,221","5,076","2,751",382,"8,209",5396,4487,4169,5034,"7,382","37,161"
NUWARAELIYA,824,"3,579",3,"4,406",824,"3,579",3,"4,406",6174,4131,2439,4512,"2,483","11,201"
GALLE,299,"2,080","9,172","11,551",293,"1,949","8,673","10,915",2221,3050,2810,2837,"8,542","24,233"
MATARA,"4,348","3,282","6,283","13,913","4,168","3,213","6,118","13,499",3855,3491,3425,3573,"10,658","38,084"
HAMBANTOTA,"28,626","4,574",967,"34,167","28,624","4,570",967,"34,161",6207,5132,3474,5986,"29,846","178,647"
JAFFNA,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MANNAR,"1,594",16,-,"1,610","1,594",16,-,"1,610",5390,3543,-,5372,"1,537","8,259"
VAVUNIYA,392,"1,077",4,"1,473",392,"1,076",4,"1,472",6294,5246,3124,5520,"1,388","7,663"
MULATIVU,"4,392","1,069",-,"5,461","4,392","1,069",-,"5,461",5312,4468,-,5147,"5,152","26,514"
KILLINOCHCHI,"9,963",71,-,"10,034","9,963",71,-,"10,034",5268,2695,-,5250,"8,904","46,742"
BATTICALOA,"22,466","4,491","1,998","28,955","22,466","4,479","1,998","28,943",4523,4794,4774,4582,"25,545","117,059"
AMPARA,"58,634","2,253",408,"61,295","58,169","2,131",408,"60,708",5017,4843,3796,5003,"58,018","290,263"
TRINCOMALEE,"18,500","3,344",268,"22,112","18,500","3,344",268,"22,112",5475,4304,3010,5268,"20,542","108,222"
KURUNEGALA,"13,933","25,135","19,059","58,127","13,894","24,293","18,344","56,531",4954,4348,4039,4397,"56,531","248,546"
PUTTALAM,"7,067","7,094","1,021","15,182","6,970","6,505",788,"14,263",4818,3934,3526,4343,"12,123","52,656"
ANURADHAPURA,"28,235","10,721",378,"39,334","28,198","10,685",375,"39,258",5181,4326,3828,4936,"31,567","155,805"
POLONNARUWA,"56,805","5,568",-,"62,373","56,805","5,342",-,"62,147",5238,5313,-,5244,"54,975","288,314"
BADULLA,"7,869","3,782",12,"11,663","7,868","3,759",12,"11,639",5317,4255,4556,4973,"9,893","49,200"
MONARAGALA,"7,733","5,943",724,"14,400","7,691","5,806",688,"14,185",5294,4646,3089,4922,"13,902","68,422"
RATNAPURA,"3,953","5,188","2,321","11,462","3,931","5,113","2,280","11,324",6073,3696,3109,4403,"9,626","42,382"
KEGALLE,-,"1,749","4,565","6,314",-,"1,730","4,522","6,252",-,3816,3699,3731,"5,857","21,855"
SRI LANKA,"286,666","102,553","66,987","456,206","285,659","100,114","64,970","450,743",4959,4098,3499,4552,"403,362","1,924,172"
COLOMBO,324,710,"2,796","3,830",324,710,"2,777","3,811","3,321","2,236","2,500",2521,"3,239","8,166"
GAMPAHA,"1,659","3,076","6,776","11,511","1,556","3,036","6,610","11,202","2,056","2,671","3,105",2842,"9,522","27,059"
KALUTARA,145,"1,573","10,221","11,939",129,"1,544","9,893","11,566","3,716","2,341","2,583","2,563","10,669","27,349"
KANDY,"4,268","5,181","2,762","12,211","4,268","5,176","2,757","12,201","3,092","3,190","3,540",3235,"9,649","31,211"
MATALE,"7,628","7,839","4,525","19,992","7,593","7,815","4,512","19,920","3,089","3,601","3,304",3339,"17,914","59,812"
NUWARAELIYA,900,"4,133",11,"5,044",900,"4,126",8,"5,034","4,652","3,763","3,870","3,922","2,836","11,126"
GALLE,144,"1,756","9,335","11,235",144,"1,706","9,071","10,921","2,653","2,825","2,453",2514,"8,546","21,486"
MATARA,"4,259","3,193","6,233","13,685","4,105","2,963","6,110","13,178","3,149","2,625","2,573",2764,"10,404","28,761"
HAMBANTOTA,"29,498","5,463","1,143","36,104","29,438","5,438","1,131","36,007","4,144","3,180","3,202",3969,"31,459","124,870"
JAFFNA,-,-,"11,127","11,127",-,-,"7,775","7,775",-,-,"2,176",2176,"6,899","15,013"
MANNAR,"16,114","4,257",95,"20,466","15,995","4,094",82,"20,171","2,702","2,534","1,304",2662,"19,259","51,276"
VAVUNIYA,"4,432","12,374","2,053","18,859","4,432","12,374","2,053","18,859","2,524","2,377","2,020",2373,"17,793","42,222"
MULATIVU,"8,095","4,462","7,433","19,990","8,013","4,411","7,404","19,828","2,267","2,619","2,158",2305,"18,707","43,110"
KILLINOCHCHI,"12,171",577,"14,655","27,403","12,171",577,"14,655","27,403","2,847","2,791","2,172",2485,"24,317","60,417"
BATTICALOA,"24,312","3,830","38,378","66,520","24,312","3,830","38,378","66,520","1,918","1,717","1,456",1639,"58,711","96,253"
AMPARA,"61,692","4,643","16,107","82,442","61,535","4,612","15,083","81,230","3,046","2,680","2,141",2857,"77,631","221,529"
TRINCOMALEE,"21,078","7,495","11,077","39,650","21,071","7,490","11,068","39,629","3,199","2,482","1,762",2662,"36,815","98,005"
KURUNEGALA,"17,608","37,541","26,305","81,454","17,562","37,171","25,876","80,609","3,405","3,060","3,353",3229,"80,609","260,302"
PUTTALAM,"8,316","10,591","2,023","20,930","7,836","9,793","1,849","19,478","2,490","2,281","2,803",2415,"16,557","39,985"
ANURADHAPURA,"52,690","50,615","13,664","116,969","52,616","50,328","13,621","116,565","3,132","2,698","2,525",2873,"93,730","260,448"
POLONNARUWA,"57,364","6,768","2,404","66,536","57,364","6,768","2,404","66,536","3,175","2,701","2,506",3103,"58,858","182,628"
BADULLA,"10,490","8,761","4,944","24,195","10,490","8,751","4,944","24,185","2,830","3,456","2,686",3027,"20,557","62,221"
MONARAGALA,"8,708","10,660","14,993","34,361","8,693","10,552","14,943","34,188","3,957","3,129","2,321",2987,"33,504","100,062"
RATNAPURA,"4,168","5,886","3,038","13,092","4,164","5,857","3,020","13,041","4,524","2,897","2,676",3365,"11,085","37,299"
KEGALLE,-,"1,784","4,517","6,301",-,"1,779","4,512","6,291",-,"3,395","3,540",3499,"5,894","20,620"
Total,"356,063","203,168","216,615","775,846","354,711","200,901","210,536","766,148","3,126","2,802","2,589","2,853","685,164","1,931,230"
COLOMBO,286,327,"1,908","2,521",253,319,"1,776","2,348",2606,2795,2372,2455,"1,996","4,899"
GAMPAHA,"1,811","2,777","5,366","9,954","1,114","2,442","4,936","8,492",3389,3118,2838,2991,"7,218","21,588"
KALUTARA,163,"1,408","8,195","9,766",162,"1,360","7,907","9,429",2012,2696,3130,3048,"8,698","26,515"
KANDY,"3,936","3,124","2,218","9,278","3,934","3,109","2,213","9,256",2579,3077,3411,2945,"7,320","21,559"
MATALE,"7,001","4,486",856,"12,343","6,997","4,473",855,"12,325",5102,4063,3860,4639,"11,084","51,415"
NUWARAELIYA,490,"2,082",1,"2,573",490,"2,082",1,"2,573",4658,3745,-,3917,"1,450","5,680"
GALLE,100,989,"7,459","8,548",97,953,"7,276","8,326",2734,1894,3030,2897,"6,515","18,873"
MATARA,"4,316","3,316","6,450","14,082","4,218","3,250","6,394","13,862",3977,3869,3489,3727,"10,944","40,787"
HAMBANTOTA,"28,735","4,662","1,093","34,490","28,735","4,662","1,093","34,490",6051,4902,3464,5814,"30,134","175,190"
JAFFNA,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MANNAR,"2,210",530,-,"2,740","2,210",522,-,"2,732",5182,3864,-,4931,"2,608","12,860"
VAVUNIYA,"2,136","2,876",-,"5,012","2,136","2,866",-,"5,002",5381,5829,-,5638,"4,719","26,606"
MULATIVU,"5,875","1,508",-,"7,383","5,875","1,508",-,"7,383",5322,5152,-,5287,"6,966","36,832"
